subj,trial,block,date,stim,stim_order,response,rt,age,sex,param_index,segment_time,pitch
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_40.wav,0,True,2948,58,h,0,0.000000,14.191871
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_40.wav,0,True,2948,58,h,1,0.071043,-146.480257
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_40.wav,0,True,2948,58,h,2,0.142086,53.736102
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_40.wav,0,True,2948,58,h,3,0.213129,76.339598
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_40.wav,0,True,2948,58,h,4,0.284172,128.682971
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_40.wav,0,True,2948,58,h,5,0.355215,-84.474700
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_40.wav,0,True,2948,58,h,6,0.426259,41.341932
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_60.wav,1,False,2948,58,h,0,0.000000,-89.296237
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_60.wav,1,False,2948,58,h,1,0.071043,0.647875
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_60.wav,1,False,2948,58,h,2,0.142086,-124.228045
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_60.wav,1,False,2948,58,h,3,0.213129,-147.365900
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_60.wav,1,False,2948,58,h,4,0.284172,-7.428030
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_60.wav,1,False,2948,58,h,5,0.355215,-42.828577
jeanmil,3,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_60.wav,1,False,2948,58,h,6,0.426259,-114.882786
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_78.wav,0,False,2549,58,h,0,0.000000,80.055785
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_78.wav,0,False,2549,58,h,1,0.071043,117.831593
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_78.wav,0,False,2549,58,h,2,0.142086,-32.666549
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_78.wav,0,False,2549,58,h,3,0.213129,67.905321
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_78.wav,0,False,2549,58,h,4,0.284172,84.716683
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_78.wav,0,False,2549,58,h,5,0.355215,30.832945
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_78.wav,0,False,2549,58,h,6,0.426259,87.837740
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_87.wav,1,True,2549,58,h,0,0.000000,123.541183
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_87.wav,1,True,2549,58,h,1,0.071043,-79.641893
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_87.wav,1,True,2549,58,h,2,0.142086,-129.036775
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_87.wav,1,True,2549,58,h,3,0.213129,-12.372422
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_87.wav,1,True,2549,58,h,4,0.284172,47.099802
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_87.wav,1,True,2549,58,h,5,0.355215,133.796504
jeanmil,4,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_87.wav,1,True,2549,58,h,6,0.426259,125.051187
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_76.wav,0,False,1541,58,h,0,0.000000,-119.681125
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_76.wav,0,False,1541,58,h,1,0.071043,66.441865
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_76.wav,0,False,1541,58,h,2,0.142086,-95.265303
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_76.wav,0,False,1541,58,h,3,0.213129,7.780656
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_76.wav,0,False,1541,58,h,4,0.284172,-90.368576
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_76.wav,0,False,1541,58,h,5,0.355215,-64.528472
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_76.wav,0,False,1541,58,h,6,0.426259,-137.293439
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_124.wav,1,True,1541,58,h,0,0.000000,-7.963711
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_124.wav,1,True,1541,58,h,1,0.071043,-56.081883
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_124.wav,1,True,1541,58,h,2,0.142086,-78.115299
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_124.wav,1,True,1541,58,h,3,0.213129,-24.811935
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_124.wav,1,True,1541,58,h,4,0.284172,-9.003272
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_124.wav,1,True,1541,58,h,5,0.355215,13.712214
jeanmil,5,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_124.wav,1,True,1541,58,h,6,0.426259,140.048390
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_91.wav,0,True,1965,58,h,0,0.000000,58.982225
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_91.wav,0,True,1965,58,h,1,0.071043,126.482844
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_91.wav,0,True,1965,58,h,2,0.142086,-120.324305
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_91.wav,0,True,1965,58,h,3,0.213129,54.493295
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_91.wav,0,True,1965,58,h,4,0.284172,74.680181
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_91.wav,0,True,1965,58,h,5,0.355215,99.124880
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_91.wav,0,True,1965,58,h,6,0.426259,-32.505202
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_129.wav,1,False,1965,58,h,0,0.000000,121.236122
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_129.wav,1,False,1965,58,h,1,0.071043,8.396736
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_129.wav,1,False,1965,58,h,2,0.142086,-17.691364
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_129.wav,1,False,1965,58,h,3,0.213129,73.711335
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_129.wav,1,False,1965,58,h,4,0.284172,-117.430618
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_129.wav,1,False,1965,58,h,5,0.355215,-12.936057
jeanmil,6,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_129.wav,1,False,1965,58,h,6,0.426259,-63.494285
jeanmil,7,0,2024-03-03T15:50:04.119Z,male_vraiment_flat_198.wav,0,False,1400,58,h,0,0.000000,-103.630506
